date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:45:11	4468/4468	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jan%202013%2019:47:44%20GMT	http://www.domerama.com/wp-content/uploads/2012/12/h_eden.jpg	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/uploads/2012/12/h_eden.jpg	(from http://www.domerama.com/)
17:45:12	155634/155634	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2015:45:08%20GMT	http://www.domerama.com/calculators/5v-geodesic-dome-calculator/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/calculators/5v-geodesic-dome-calculator/index.html	(from http://www.domerama.com/)
17:45:12	162885/162885	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2015:45:09%20GMT	http://www.domerama.com/calculators/6v-geodesic-dome-calculator/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/calculators/6v-geodesic-dome-calculator/index.html	(from http://www.domerama.com/)
17:45:12	16125/16125	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Jan%202013%2023:55:59%20GMT	http://www.domerama.com/wp-content/uploads/2013/01/h_diy.jpg	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/uploads/2013/01/h_diy.jpg	(from http://www.domerama.com/)
17:45:12	12941/12941	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Jan%202013%2023:55:58%20GMT	http://www.domerama.com/wp-content/uploads/2013/01/h_hexayurts.jpg	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/uploads/2013/01/h_hexayurts.jpg	(from http://www.domerama.com/)
17:45:13	70603/70603	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2015:45:12%20GMT	http://www.domerama.com/calculators/cover-templates-for-3v-59-geodesic-dome/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/calculators/cover-templates-for-3v-59-geodesic-dome/index.html	(from http://www.domerama.com/)
17:45:13	2986/2986	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jan%202013%2019:47:44%20GMT	http://www.domerama.com/wp-content/uploads/2012/12/h_geodesic_basics.jpg	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/uploads/2012/12/h_geodesic_basics.jpg	(from http://www.domerama.com/)
17:45:14	55137/55137	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2015:45:13%20GMT	http://www.domerama.com/calculators/trapezium/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/calculators/trapezium/index.html	(from http://www.domerama.com/)
17:45:15	129936/129936	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2015:45:13%20GMT	http://www.domerama.com/calculators/octahedral-5v-mexican-method/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/calculators/octahedral-5v-mexican-method/index.html	(from http://www.domerama.com/)
17:45:15	60409/60409	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2015:45:14%20GMT	http://www.domerama.com/calculators/cover-pattern/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/calculators/cover-pattern/index.html	(from http://www.domerama.com/)
